g127;42618,14163,17429;корыстолюбивый,алчный,корыстный,жадный,любостяжательный,своекорыстный,сребролюбивый,стяжательский,скупой
g116;10247,1552,1943,17057,18979,12068,3112,183,9275,444,445,11332,16325,13004,33362,13017,27739,9063,8041,27630,27506,9341;авантюра,инцидент,эпизод,казус,происшествие,событие,похождение,приключение,случай,история,дело
g137;1862,8747,15246,33679,26389,19190,47191;распорядитель,менеджер,администратор,управляющий
g9;1028,13764,11306,3114,31306,31283;темперамент,природа,норов,нрав,натура,характер
g132;30598,18974;эскиз,черновик,набросок
g16;21692,21695;ругачка,ругань,брань
g112;14080,25025,11235,11152,9401,25021,12159;деяние,поступок,акт,действие
g100;33692,69941;рассудочность,рациональность,рассудительность,здравый смысл,рационализм
g49;642,14661,15338,182,8630,2943;городок,град,город,городишко
g109;1539,139,908,1547,909,1812,1685,15017,25260,2221,10035,23482,59,832,195,2117,10699,861,1525,1526,47222,25081;занятие,работа,труд,деятельность,дело
g1;7594,16443,24262,11814;глотка,горло
g131;26665,26666;зарисовка,эскиз,набросок
g101;25511,25512,25513,24826,16493,16461,34293,2554;догадливость,смётка,смекалистость,сметка,сообразительность,сметливость,смышленость,прозорливость,проницательность,смышлёность,смекалка
g55;1700,16167,15880,26421,17119;энигма,загадка,секрет,мистерия,тайна
g63;2307,24623,24622,16455;гримаса,ужимка,мина
g96;27456,132,33637,9894,4486,71272,4488,6797,11165,24367,2000,1581,17167,917,27452,27453,27455;рассудок,ум,интеллект,разум
g114;33623,9645,327,11023;процесс,суд,тяжба,разбирательство
g31;27147,27148,27149,14990,5913,5791;избыток,излишек,лишек,преизбыток,лишнее,излишество,перебор
g18;9392,16282,17045;хулиганство,дебош,буйство,буянство,безобразие,скандал,бесчинство
g124;11036,11237,8748,10483,10297,15100;сотрудник,коллега,сослуживец
g21;14304,30341,361,13002,10701,28078,28079,28080,17235,29843,4405,15863,10457,5658,29854;малый,молодой человек,паренёк,парниша,пацан,парнишка,крендель,малой,чувак,молодчик,паря,юнец,кекс,парень,парубок,юноша,молодец,хлопец
g67;16996,9605,7304,9102,13584,16759,25369;разлад,диссонанс,разноголосица,разногласие,несогласие,разноречие,разномыслие
g128;1504,23545,70816;встреча,игра,матч,поединок
g36;35218,2379,10341;шорох,шелестение,шелест,шуршание
g76;15074,578,2021,2022,16744,20618,22219,12350;нехватка,недостача,недобор,недостаток,дефицит
g52;16704,14637,3256;эпидемия,мор
g39;10500,17227,23948,23949,4991,23928,12763,9118,23295;гвалт,гомон,оранье,галдёж,ор,гул,вопль,гам,крик
g30;10051,10504,17162,9580,30800,31921,31922,33299,9042,15574,16345;нега,наслаждение,утеха,удовольствие,приятность,услада,отрада
g118;16291,16678,25479,21225,9357,14683,16287;доброжелательность,благорасположенность,доброжелательство,благожелательство,благосклонность,дружелюбие,благожелательность,благорасположение
g50;21346,70124,20461,20462,20464,20465;блудилище,лупанарий,публичный дом,дом свиданий,бардак,дом терпимости,бордель
g32;21701,21703,2218,47420,2141;братушка,братуха,братан,братишечка,браток,братишка,брат,брательничек,брательник,браточек,братик,брателло,братец
g90;16045,21937,21938,21939,9361,1078,10264,10041,9116,16861;щелкопёр,графоман,бумагомарака,литературщик,литератор,писатель,сочинитель,инженер человеческих душ,писака,бумагомаратель,беллетрист
g78;16232,19787,16147,9435;апофеоз,зенит,вершина,верх,апогей
g135;25409,12481,25411,2119,1557,1911,1567;крошка,лялька,младенец,малютка,малыш
g56;21667,2244,21668,14218,9235,3508,15510,16310;страх,боязнь,паника,испуг,ужас
g51;608,9000,74121,16302,9872,21565,3860,47223,21496,21497,21498,21499,21500,21501;недуг,хвороба,болячка,недомогание,хворость,немощь,заболевание,болезнь,хороба,хворь,нездоровье
g120;8623,26800,26799,32724,8824,9211,9244;достоинство,ранг,звание,чин,сан,титул
g113;25488,9690,9381;добывание,промысел,добыча
g2;17016,22266,22268,9790;пасть,хайло,варежка,хавальник,рот,хлебальник
